Passport,Name,City,Street,Phone
44№6732274,"Федосеев Иннокентий Владимирович ","Владимирская обл. г.  Владимир 202863 ",пер. Дачный д.  19 кв. 77," +79566567269"
78№4073242,"Сергеев Ефим Антонович ","Белгородская обл. г.  Агошевка 224866 ","ул. Запрудная д.  44 "," +79690605426"
44№8841300,"Зайцев Германн Наумович ","Белгородская обл. аг.  Тополи 265751 ",ул. Кирова д.  85 кв. 93," +79500334835"
19№8937587,"Ефремова Евлампия Тарасовна ","Белгородская обл. д.  Отрадное 277159 ",ул. Дисенская д.  18 кв. 39," +79125708694"
94№1223883,"Евсеева Павлина Вячеславовна ","Брянская обл. д.  Андрынки 243277 ","ул. Александровская д.  7 "," +79236346609"
58№9388689,"Юдин Арсений Антонович ","Калининградская обл. г.  Городищи 252525 ","Игуменский тракт д.  57 "," +79231850303"
29№8862669,"Рожков Исаак Семенович ","Ленинградская обл. г.  Слукино 227282 ","ул. Ивановская д.  34 "," +79115793153"
52№2124456,"Басова Рада Владиславовна ","Белгородская обл. аг.  Тополи 265751 ","ул. Дисенская д.  65 "," +79941137423"
22№1776360,"Архипова Светлана Егоровна ","Воронежская обл. аг.  Козлаково 228272 ",ул. Бехтерева д.  34 кв. 89," +79631037759"
27№6107653,"Воронкова Марина Игоревна ","Владимирская обл. аг.  Долгая Лужа 224802 ","ул. Маркса Карла д.  19 "," +79983805500"
49№2250720,"Григорьева Аглая Леонидовна ","Тверская обл. г.  Сменки 255629 ","ул. Казея д.  77 "," +79438748980"
62№3723361,"Аксёнова Евлампия Станиславовна ","Брянская обл. аг.  Щученка 210126 ","ул. Бехтерева д.  56 "," +79741935147"
90№2482068,"Бочарова Прасковья Константиновна ","Московская обл. д.  Кузьмино 230722 ",ул. Пинская д.  23 кв. 71," +79219040789"
66№6237335,"Боброва Татьяна Федоровна ","Костромская обл. г.  Вязники 279793 ","ул. Кирова д.  35 "," +79535588921"
69№8309244,"Гришин Ефрем Борисович ","Тверская обл. д.  Харино 269928 ",ул. Бехтерева д.  44 кв. 66," +79849695544"
73№5498917,"Фомичёв Лаврентий Валериевич ","Брянская обл. аг.  Сосновка 264244 ","ул. Александровская д.  58 "," +79350802736"
40№3918973,"Астахова Пинна Аркадьевна ","Псковская обл. д.  Новая Быковка 247286 ","ул. Казея д.  15 "," +79861397017"
72№4989669,"Дементьева Валерия Эдуардовна ","Владимирская обл. д.  Гусевский 232010 ",ул. Гагарина д.  39 кв. 39," +79788980666"
93№2031526,"Дьякова Марина Максимовна ","Владимирская обл. село  Арсаки 298975 ","ул. Гикало д.  19 "," +79214022124"
45№4531221,"Быкова Ангелина Анатольевна ","Тверская обл. село  Агафоново 201361 ",ул. Кирова д.  24 кв. 10," +79549835321"
67№2041950,"Головина Снежана Юрьевна ","Белгородская обл. г.  Агошевка 224866 ","ул. Гагарина д.  85 "," +79689997945"
83№2238528,"Чернов Артём Витальевич ","Воронежская обл. аг.  Козлаково 228272 ","ул. Гикало д.  80 "," +79868781375"
